GROUP,TEAM,ISOALPHA3,STICKER_NUM,STICKER_CODE,LATENGO
GROUP A,CZECHIA,CZE,1,CZE1,TRUE
GROUP A,CZECHIA,CZE,2,CZE2,FALSE
GROUP A,CZECHIA,CZE,3,CZE3,FALSE
GROUP A,CZECHIA,CZE,4,CZE4,FALSE
GROUP A,CZECHIA,CZE,5,CZE5,FALSE
GROUP A,CZECHIA,CZE,6,CZE6,FALSE
GROUP A,CZECHIA,CZE,7,CZE7,FALSE
GROUP A,CZECHIA,CZE,8,CZE8,FALSE
GROUP A,CZECHIA,CZE,9,CZE9,FALSE
GROUP A,CZECHIA,CZE,10,CZE10,FALSE
GROUP A,CZECHIA,CZE,11,CZE11,FALSE
GROUP A,CZECHIA,CZE,12,CZE12,FALSE
GROUP A,CZECHIA,CZE,13,CZE13,FALSE
GROUP A,CZECHIA,CZE,14,CZE14,FALSE
GROUP A,CZECHIA,CZE,15,CZE15,FALSE
GROUP A,CZECHIA,CZE,16,CZE16,FALSE
GROUP A,CZECHIA,CZE,17,CZE17,FALSE
GROUP A,CZECHIA,CZE,18,CZE18,FALSE
GROUP A,CZECHIA,CZE,19,CZE19,FALSE
GROUP A,CZECHIA,CZE,20,CZE20,FALSE
GROUP A,SOUTH KOREA,KOR,1,KOR1,TRUE
GROUP A,SOUTH KOREA,KOR,2,KOR2,TRUE
GROUP A,SOUTH KOREA,KOR,3,KOR3,TRUE
GROUP A,SOUTH KOREA,KOR,4,KOR4,TRUE
GROUP A,SOUTH KOREA,KOR,5,KOR5,FALSE
GROUP A,SOUTH KOREA,KOR,6,KOR6,TRUE
GROUP A,SOUTH KOREA,KOR,7,KOR7,TRUE
GROUP A,SOUTH KOREA,KOR,8,KOR8,TRUE
GROUP A,SOUTH KOREA,KOR,9,KOR9,TRUE
GROUP A,SOUTH KOREA,KOR,10,KOR10,TRUE
GROUP A,SOUTH KOREA,KOR,11,KOR11,TRUE
GROUP A,SOUTH KOREA,KOR,12,KOR12,TRUE
GROUP A,SOUTH KOREA,KOR,13,KOR13,TRUE
GROUP A,SOUTH KOREA,KOR,14,KOR14,TRUE
GROUP A,SOUTH KOREA,KOR,15,KOR15,FALSE
GROUP A,SOUTH KOREA,KOR,16,KOR16,TRUE
GROUP A,SOUTH KOREA,KOR,17,KOR17,TRUE
GROUP A,SOUTH KOREA,KOR,18,KOR18,TRUE
GROUP A,SOUTH KOREA,KOR,19,KOR19,TRUE
